Sr. No.,EmpID,Attendance Code,FName,Branch Code,Department Name,Division Name,Grade Code,Designation Name,Direct/Indirect,Roster,Attendance Date,In Time,Out Time,Total Hours,OT Hours,Late Hours,Application Status,Final Status,Attendance Type
3571,37482,37482,Janice Cherry,P003,HR,Recruitment,C2,Manager,t,Weekend,18/03/2025,07:51 AM,07:23 AM,8.67,1.51,0.47,,Absent Half Day,Half Day
3572,49615,49615,Andrea Wolfe,P001,HR,Accounting,C1,Executive,t,Weekend,04/03/2025,07:26 PM,08:30 PM,6.68,0.64,0.91,,Leave,Half Day
3573,33482,33482,Carla Chan,P005,HR,Warranty,C5,Supervisor,t,Working Day (G),13/03/2025,04:58 PM,10:42 PM,6.77,1.76,0.54,,Absent,Full Day
3574,45635,45635,Chris Perry,P005,Production,Manufacturing,C4,Engineer,t,Holiday,07/03/2025,01:37 AM,04:59 PM,8.28,1.46,0.72,,Absent,Leave
3575,48514,48514,Deborah Garcia,P002,Finance,Warranty,C5,Engineer,t,Working Day (G),03/03/2025,03:59 PM,06:06 AM,8.94,0.8,0.08,,Leave,Full Day
3576,39018,39018,Christina Howell,P003,HR,Recruitment,C3,DM,t,Weekend,25/02/2025,09:55 PM,09:38 AM,6.39,1.89,0.56,,Present,Full Day
3577,46251,46251,Angel Gutierrez,P004,Production,Recruitment,C2,Engineer,t,Weekend,23/03/2025,01:27 PM,08:43 PM,6.39,1.03,0.51,,Absent Half Day,Leave
3578,42868,42868,Amanda Hill,P005,Finance,Manufacturing,C5,Manager,t,Working Day (G),10/03/2025,05:55 AM,05:49 AM,8.44,0.93,0.91,,Present,Full Day
3579,48340,48340,Marie Martin,P003,Production,Support,C4,Engineer,t,Weekend,28/02/2025,04:32 AM,03:05 AM,8.87,1.23,0.7,,Leave,Half Day
3580,30845,30845,Jonathan Molina,P005,HR,Manufacturing,C4,Manager,t,Holiday,27/02/2025,10:11 PM,09:11 AM,7.05,1.26,0.65,,Absent,Full Day
3581,48469,48469,Sandra Smith,P005,IT,Recruitment,C4,Executive,t,Working Day (G),01/03/2025,11:28 PM,12:26 PM,7.34,0.1,0.82,,Present,Full Day
3582,39670,39670,Zoe Curry,P003,HR,Manufacturing,C3,DM,t,Working Day (G),22/03/2025,05:10 AM,05:12 AM,6.26,0.1,0.73,,Leave,Leave
3583,45725,45725,Kelly Hall,P002,Quality,Warranty,C3,DM,t,Working Day (G),16/03/2025,11:01 AM,09:26 PM,6.47,0.59,0.29,,Present,Half Day
3584,37857,37857,Daniel Nelson,P002,Finance,Warranty,C1,DM,t,Working Day (G),15/03/2025,10:25 AM,08:37 AM,8.11,1.79,0.37,,Absent Half Day,Leave
3585,45358,45358,Theresa Norman,P002,IT,Accounting,C5,DM,t,Weekend,04/03/2025,09:06 PM,04:24 PM,6.18,1.93,0.14,,Present,Full Day
3586,39439,39439,Jessica Willis,P001,Finance,Support,C5,Engineer,t,Holiday,05/03/2025,07:27 PM,06:13 PM,6.45,0.0,0.16,,Absent,Half Day
3587,43474,43474,Kathleen May,P005,HR,Warranty,C4,Executive,t,Weekend,03/03/2025,10:29 PM,12:38 PM,7.32,0.65,0.24,,Absent Half Day,Leave
3588,39993,39993,Tracey Johnson,P002,HR,Accounting,C2,Manager,t,Holiday,21/03/2025,06:36 PM,11:29 AM,6.24,0.74,0.67,,Absent Half Day,Leave
3589,30373,30373,Christopher Simmons,P002,Production,Accounting,C5,Supervisor,t,Weekend,06/03/2025,11:22 PM,01:05 AM,7.39,0.27,0.54,,Present,Half Day
3590,33553,33553,Ann Brown,P001,HR,Recruitment,C4,Supervisor,t,Weekend,22/03/2025,10:47 AM,07:20 PM,7.38,1.41,0.6,,Absent Half Day,Leave
3591,39283,39283,Richard Adams,P001,Finance,Manufacturing,C3,Manager,t,Weekend,11/03/2025,03:57 AM,01:46 PM,7.55,0.3,0.14,,Present,Half Day
3592,46837,46837,Tanner Greene,P001,IT,Warranty,C5,Manager,t,Holiday,23/03/2025,02:10 AM,03:42 PM,8.05,1.07,0.8,,Absent,Full Day
3593,33776,33776,Shannon Macias,P003,Quality,Warranty,C1,Supervisor,t,Working Day (G),02/03/2025,04:31 AM,06:54 AM,7.41,0.99,0.59,,Absent,Leave
3594,39186,39186,Ashley Hogan,P002,IT,Support,C4,Engineer,t,Working Day (G),12/03/2025,02:23 PM,08:38 PM,7.77,1.48,0.43,,Leave,Half Day
3595,41332,41332,Nathan Perry,P004,Production,Recruitment,C2,Engineer,t,Working Day (G),10/03/2025,10:15 AM,12:35 PM,7.95,0.38,0.88,,Leave,Full Day
3596,38453,38453,Victoria Smith,P004,IT,Manufacturing,C5,Manager,t,Holiday,14/03/2025,02:05 AM,01:38 AM,8.89,0.7,0.24,,Leave,Full Day
3597,48378,48378,Joshua Lucas,P001,Quality,Accounting,C5,Manager,t,Working Day (G),25/03/2025,04:32 AM,05:13 AM,8.59,0.4,0.36,,Absent Half Day,Leave
3598,36391,36391,Jessica Mckee,P005,Production,Accounting,C2,DM,t,Working Day (G),02/03/2025,12:34 PM,07:35 AM,7.12,1.05,0.14,,Present,Leave
3599,46291,46291,Ricky Ferrell,P001,HR,Warranty,C2,DM,t,Working Day (G),05/03/2025,12:05 AM,12:23 PM,7.63,1.01,0.17,,Leave,Half Day
3600,40381,40381,Amanda Meyers,P002,Finance,Warranty,C2,Supervisor,t,Holiday,08/03/2025,07:43 PM,05:22 AM,6.23,1.05,0.07,,Present,Half Day
3601,41384,41384,Alan Ward,P005,IT,Recruitment,C2,Supervisor,t,Holiday,15/03/2025,10:59 AM,07:39 AM,6.23,0.08,0.22,,Absent Half Day,Full Day
3602,49442,49442,Angel Oneal,P001,Quality,Recruitment,C5,Executive,t,Holiday,27/02/2025,07:26 PM,11:07 PM,8.01,1.17,0.58,,Absent Half Day,Leave
3603,43176,43176,Daryl Cummings,P004,Production,Manufacturing,C3,DM,t,Weekend,03/03/2025,10:36 PM,02:53 AM,8.61,0.91,0.48,,Absent,Leave
3604,30324,30324,Destiny Smith,P005,Finance,Warranty,C2,Supervisor,t,Holiday,16/03/2025,01:30 AM,03:41 PM,8.13,1.7,0.54,,Present,Half Day
3605,49878,49878,Christina Hernandez,P004,IT,Warranty,C2,Supervisor,t,Holiday,02/03/2025,10:58 AM,10:47 AM,6.69,0.38,0.82,,Present,Full Day
3606,48454,48454,Priscilla Nelson,P005,Production,Warranty,C3,Supervisor,t,Weekend,05/03/2025,02:27 PM,08:01 AM,7.87,0.77,0.23,,Leave,Leave
3607,43425,43425,Rebecca Martinez,P003,HR,Warranty,C4,Manager,t,Weekend,24/03/2025,04:54 PM,12:01 PM,6.15,1.46,0.42,,Leave,Full Day
3608,47476,47476,Richard Jackson,P005,Production,Manufacturing,C1,DM,t,Working Day (G),28/02/2025,06:01 PM,01:37 AM,6.38,0.54,0.75,,Absent Half Day,Half Day
3609,33911,33911,Cindy Patel,P005,Quality,Support,C4,Manager,t,Holiday,06/03/2025,02:33 PM,01:04 PM,8.15,1.94,0.32,,Leave,Leave
3610,46930,46930,Cynthia Green,P005,Production,Support,C3,Supervisor,t,Holiday,24/02/2025,08:18 AM,02:23 AM,6.96,1.61,0.66,,Absent,Full Day
3611,36738,36738,Kim Jackson,P005,IT,Accounting,C4,Supervisor,t,Weekend,22/03/2025,01:58 PM,08:23 PM,7.82,1.16,0.26,,Absent,Half Day
3612,37750,37750,Rodney Johnson,P003,HR,Accounting,C2,Manager,t,Weekend,08/03/2025,12:40 PM,11:43 AM,6.85,0.11,0.41,,Leave,Full Day
3613,43444,43444,Amy Flowers,P005,Finance,Manufacturing,C4,DM,t,Weekend,28/02/2025,08:04 AM,10:10 PM,6.37,1.29,0.56,,Present,Full Day
3614,38512,38512,Andrew Krause,P005,Production,Manufacturing,C1,Executive,t,Weekend,15/03/2025,09:18 AM,10:06 AM,8.34,0.59,0.65,,Leave,Full Day
3615,32150,32150,Gerald Alvarez,P003,Quality,Warranty,C2,Engineer,t,Holiday,09/03/2025,07:53 PM,06:00 PM,7.67,1.23,0.14,,Present,Full Day
3616,41111,41111,Kelly Russell,P002,Production,Manufacturing,C3,Engineer,t,Working Day (G),27/02/2025,08:31 PM,01:25 AM,8.35,1.9,0.94,,Present,Half Day
3617,43926,43926,Samuel Anthony,P004,Production,Manufacturing,C2,Engineer,t,Holiday,25/02/2025,03:59 PM,11:40 PM,7.38,0.77,0.12,,Present,Half Day
3618,42987,42987,Tyler Smith,P002,HR,Warranty,C2,Engineer,t,Holiday,26/02/2025,01:10 AM,08:42 AM,6.51,1.82,0.15,,Present,Leave
3619,40593,40593,Benjamin Ross,P004,Quality,Support,C1,Engineer,t,Holiday,06/03/2025,08:43 PM,05:09 AM,7.83,0.23,0.52,,Absent,Full Day
3620,44407,44407,Daniel Sharp,P002,Quality,Support,C3,Supervisor,t,Holiday,14/03/2025,10:55 AM,03:53 PM,6.71,0.39,0.45,,Absent,Full Day
3621,48232,48232,Wayne Williams,P005,Quality,Support,C1,Manager,t,Working Day (G),18/03/2025,04:05 PM,10:44 PM,7.71,1.31,0.56,,Present,Full Day
3622,43263,43263,Haley Campbell,P003,Quality,Support,C1,Executive,t,Working Day (G),06/03/2025,12:52 AM,01:03 PM,7.72,0.13,0.35,,Leave,Full Day
3623,45030,45030,Brenda Elliott,P001,IT,Recruitment,C3,DM,t,Working Day (G),01/03/2025,04:22 AM,10:15 PM,8.12,0.54,0.16,,Absent,Half Day
3624,41285,41285,Ethan Porter,P005,IT,Recruitment,C3,Executive,t,Weekend,25/03/2025,05:04 PM,11:49 AM,7.64,0.87,0.71,,Absent,Leave
3625,43935,43935,Heather Rivera,P003,HR,Accounting,C4,Engineer,t,Holiday,19/03/2025,07:15 AM,11:41 PM,8.46,0.72,0.91,,Leave,Full Day
3626,44145,44145,Kristopher Shaffer,P005,Production,Accounting,C3,DM,t,Holiday,04/03/2025,02:04 AM,01:21 PM,7.64,0.6,0.07,,Absent,Leave
3627,35718,35718,Katie Herman,P003,Quality,Manufacturing,C4,Engineer,t,Holiday,25/03/2025,03:16 PM,06:29 PM,8.84,0.23,0.09,,Present,Full Day
3628,48082,48082,Joseph Potter,P001,Production,Recruitment,C1,Executive,t,Weekend,24/03/2025,05:29 AM,06:26 PM,8.46,0.12,0.5,,Absent,Half Day
3629,44156,44156,Lance Barnes,P005,HR,Recruitment,C3,DM,t,Holiday,17/03/2025,02:36 PM,05:07 PM,8.29,1.58,0.95,,Present,Half Day
3630,37306,37306,Bianca Wood,P001,Production,Warranty,C3,Engineer,t,Weekend,03/03/2025,07:05 AM,03:30 AM,6.0,1.8,0.48,,Leave,Half Day
3631,34420,34420,Eric Molina,P004,IT,Recruitment,C2,Executive,t,Working Day (G),09/03/2025,12:44 PM,05:26 PM,7.7,1.78,0.84,,Present,Leave
3632,47702,47702,Natalie Clark,P002,Finance,Recruitment,C4,Supervisor,t,Weekend,03/03/2025,03:20 PM,02:49 PM,7.91,1.66,0.19,,Present,Leave
3633,31249,31249,Eric Strong,P005,Quality,Warranty,C5,Engineer,t,Weekend,20/03/2025,04:48 AM,12:23 AM,6.46,0.77,0.9,,Leave,Half Day
3634,36289,36289,Howard Wall,P004,Production,Accounting,C4,Executive,t,Working Day (G),01/03/2025,12:05 PM,11:49 AM,8.55,1.79,0.25,,Present,Half Day
3635,47194,47194,Rebecca Taylor,P004,HR,Accounting,C4,Executive,t,Weekend,02/03/2025,12:21 AM,04:08 PM,6.4,0.13,0.3,,Absent,Full Day
3636,31427,31427,Phillip Richardson,P001,IT,Support,C1,Manager,t,Working Day (G),14/03/2025,06:11 PM,10:35 PM,6.44,0.9,0.65,,Leave,Full Day
3637,36515,36515,Melinda Chan,P003,Finance,Manufacturing,C1,Executive,t,Working Day (G),25/02/2025,03:07 PM,02:28 PM,8.91,0.1,0.5,,Absent Half Day,Full Day
3638,39793,39793,Gerald Taylor,P002,IT,Recruitment,C5,Manager,t,Weekend,22/03/2025,11:51 PM,05:45 PM,6.9,0.12,0.78,,Absent Half Day,Leave
3639,33841,33841,Joshua Gallagher,P005,Finance,Warranty,C2,Engineer,t,Holiday,09/03/2025,01:44 PM,05:54 PM,7.71,1.02,0.11,,Leave,Full Day
3640,45202,45202,Lydia Parker,P001,Finance,Warranty,C2,Executive,t,Weekend,26/02/2025,06:00 AM,12:39 PM,6.78,0.66,0.86,,Present,Half Day
3641,36982,36982,Cynthia Campbell,P004,Finance,Recruitment,C3,Supervisor,t,Weekend,26/02/2025,10:02 PM,07:01 AM,8.42,1.61,0.6,,Absent Half Day,Half Day
3642,39626,39626,Debbie Schaefer,P002,Production,Accounting,C4,Manager,t,Holiday,17/03/2025,03:31 PM,08:19 AM,7.77,1.49,0.97,,Present,Half Day
3643,42400,42400,Gabrielle Lamb,P005,Finance,Accounting,C5,DM,t,Weekend,19/03/2025,04:48 AM,06:34 PM,6.36,0.12,0.19,,Present,Full Day
3644,49667,49667,Larry Yang,P005,Production,Support,C2,Supervisor,t,Weekend,10/03/2025,08:20 AM,10:54 PM,7.14,0.51,0.43,,Present,Full Day
3645,43271,43271,Ashley Shea,P005,IT,Warranty,C3,Supervisor,t,Holiday,19/03/2025,09:21 PM,09:41 AM,8.67,1.72,0.77,,Absent Half Day,Half Day
3646,44486,44486,Vanessa Rivera,P001,Finance,Warranty,C3,Manager,t,Weekend,03/03/2025,07:15 PM,07:35 PM,7.91,0.78,0.05,,Absent Half Day,Leave
3647,34488,34488,Stacy Mack,P001,HR,Support,C3,Manager,t,Holiday,22/03/2025,05:01 AM,05:29 PM,8.45,0.83,0.7,,Present,Full Day
3648,34949,34949,Julie White,P005,HR,Warranty,C3,Engineer,t,Weekend,25/03/2025,03:23 AM,05:57 AM,6.39,0.29,0.89,,Absent,Half Day
3649,33853,33853,Judith Glover,P003,Finance,Warranty,C5,Manager,t,Holiday,21/03/2025,08:04 PM,01:26 AM,7.46,1.5,0.27,,Absent Half Day,Full Day
3650,34424,34424,Ashley Dudley,P001,Production,Support,C2,Manager,t,Working Day (G),05/03/2025,04:04 AM,09:07 PM,6.52,0.85,0.36,,Leave,Leave
3651,36773,36773,Mary Ellis,P004,Quality,Support,C2,Manager,t,Working Day (G),26/02/2025,01:09 AM,09:19 PM,7.41,0.73,0.71,,Absent,Half Day
3652,31028,31028,Kimberly Berry,P001,Finance,Manufacturing,C2,Executive,t,Weekend,23/03/2025,05:11 PM,04:54 AM,7.23,1.78,0.19,,Absent,Full Day
3653,43768,43768,Gregory Peterson,P002,Finance,Accounting,C3,Executive,t,Working Day (G),23/03/2025,01:46 AM,08:43 PM,7.44,0.99,0.27,,Present,Leave
3654,39946,39946,Benjamin Warren,P004,IT,Accounting,C4,Supervisor,t,Holiday,21/03/2025,09:48 AM,04:56 AM,7.39,0.28,0.49,,Absent,Full Day
3655,41511,41511,Patricia Kim,P001,Finance,Accounting,C3,Engineer,t,Weekend,07/03/2025,08:19 PM,08:16 AM,8.12,0.22,0.12,,Leave,Half Day
3656,42377,42377,David Murphy,P003,Production,Warranty,C2,Manager,t,Weekend,09/03/2025,03:55 PM,07:18 PM,8.46,1.61,0.61,,Present,Full Day
3657,36065,36065,Anthony Rodriguez,P005,Finance,Support,C3,Engineer,t,Weekend,04/03/2025,03:10 PM,04:24 PM,8.45,0.59,0.54,,Leave,Full Day
3658,34722,34722,Rebecca Potts,P002,Finance,Recruitment,C1,Executive,t,Working Day (G),08/03/2025,05:18 AM,10:17 AM,7.12,0.33,0.21,,Absent Half Day,Leave
3659,41902,41902,William Holland,P004,IT,Recruitment,C2,Engineer,t,Weekend,06/03/2025,06:59 AM,04:29 PM,6.46,1.94,0.01,,Leave,Full Day
3660,44040,44040,Mckenzie Lewis,P004,Production,Warranty,C1,Executive,t,Weekend,19/03/2025,07:50 PM,11:39 PM,7.65,1.65,0.79,,Absent Half Day,Full Day
3661,39705,39705,Erika Jackson,P001,HR,Support,C2,Supervisor,t,Working Day (G),24/02/2025,12:38 AM,10:53 PM,7.01,0.49,0.32,,Leave,Leave
3662,40015,40015,Alyssa Schneider,P002,HR,Accounting,C1,DM,t,Weekend,12/03/2025,02:18 PM,07:02 AM,6.45,1.41,0.9,,Absent,Leave
3663,31762,31762,Stacey White,P004,HR,Manufacturing,C3,Executive,t,Working Day (G),16/03/2025,01:37 AM,03:02 AM,6.0,0.93,0.18,,Present,Half Day
3664,34109,34109,Joshua Miller,P003,IT,Recruitment,C5,Executive,t,Weekend,16/03/2025,11:01 PM,08:53 AM,6.47,1.67,0.58,,Present,Full Day
3665,32431,32431,Crystal Fletcher,P004,IT,Recruitment,C1,Manager,t,Weekend,01/03/2025,11:47 PM,12:54 PM,6.7,0.95,0.56,,Absent,Leave
3666,44669,44669,Brian Gonzales,P004,Production,Recruitment,C5,Executive,t,Working Day (G),28/02/2025,11:30 PM,04:25 PM,7.59,0.19,0.31,,Absent,Half Day
3667,31579,31579,Felicia Williams,P003,HR,Accounting,C2,Executive,t,Weekend,13/03/2025,06:52 AM,10:15 AM,7.51,0.95,0.73,,Present,Leave
3668,46912,46912,Samuel Acosta,P004,HR,Support,C5,DM,t,Holiday,20/03/2025,09:20 PM,08:46 AM,6.81,0.58,0.18,,Leave,Half Day
3669,34650,34650,Alexis Miller,P002,Finance,Warranty,C5,Supervisor,t,Weekend,16/03/2025,01:56 PM,04:54 AM,7.91,1.67,0.05,,Present,Half Day
3670,31873,31873,Lindsay Wright,P004,Finance,Recruitment,C1,Engineer,t,Weekend,01/03/2025,11:55 AM,01:35 AM,6.49,0.73,0.75,,Present,Leave
3671,31479,31479,Erin Murphy,P004,IT,Warranty,C2,Manager,t,Weekend,13/03/2025,05:20 PM,12:22 AM,7.68,0.66,0.14,,Absent,Leave
3672,36592,36592,Carolyn Parker,P003,Finance,Manufacturing,C2,Manager,t,Working Day (G),01/03/2025,08:50 PM,12:46 PM,7.86,1.99,0.7,,Present,Leave
3673,43116,43116,David Taylor,P003,Finance,Manufacturing,C3,Manager,t,Weekend,24/02/2025,03:32 AM,12:45 AM,6.32,0.4,0.96,,Absent,Leave
3674,30618,30618,Lori Garcia,P005,Finance,Recruitment,C3,Manager,t,Weekend,12/03/2025,04:06 AM,04:46 PM,6.1,1.62,0.78,,Absent Half Day,Half Day
3675,49533,49533,Shane Ruiz,P003,IT,Warranty,C4,Manager,t,Holiday,16/03/2025,05:18 PM,09:05 PM,6.02,1.52,0.99,,Absent Half Day,Leave
3676,45130,45130,Mason Lyons,P004,HR,Manufacturing,C2,Manager,t,Working Day (G),01/03/2025,06:34 AM,03:39 PM,8.49,0.99,0.08,,Absent Half Day,Full Day
3677,40178,40178,Dale Lindsey,P002,Finance,Warranty,C5,Manager,t,Working Day (G),12/03/2025,02:51 AM,01:28 AM,6.79,0.42,0.74,,Leave,Leave
3678,46885,46885,Shannon Brown,P005,Quality,Warranty,C3,Supervisor,t,Holiday,10/03/2025,10:42 PM,01:56 PM,7.39,1.01,0.96,,Leave,Half Day
3679,42205,42205,Corey Donovan,P005,Finance,Manufacturing,C3,Engineer,t,Weekend,03/03/2025,05:32 AM,08:10 PM,8.21,0.99,0.15,,Absent,Full Day
3680,40050,40050,Ricky Mckay,P001,Production,Accounting,C1,Manager,t,Holiday,12/03/2025,06:47 AM,09:05 PM,8.07,0.43,0.17,,Leave,Full Day
3681,46767,46767,Daniel Jones,P005,Production,Recruitment,C2,Supervisor,t,Working Day (G),25/03/2025,12:18 AM,10:21 PM,8.16,0.62,0.3,,Absent Half Day,Full Day
3682,49513,49513,Melanie Turner,P002,Quality,Accounting,C1,Engineer,t,Working Day (G),20/03/2025,03:42 AM,02:27 AM,6.04,0.93,0.87,,Leave,Leave
3683,38384,38384,Brandon Walters,P004,Finance,Recruitment,C2,Engineer,t,Holiday,15/03/2025,05:02 PM,04:24 PM,8.18,1.69,0.01,,Present,Full Day
3684,42052,42052,Megan Conner,P004,Production,Accounting,C5,Executive,t,Working Day (G),07/03/2025,03:20 PM,12:09 AM,8.27,1.01,0.91,,Absent,Full Day
3685,39269,39269,Donald Lewis,P005,Quality,Accounting,C5,DM,t,Weekend,26/02/2025,01:11 PM,10:55 AM,8.16,0.61,0.81,,Leave,Leave
3686,41858,41858,Mary Long,P003,IT,Accounting,C3,Manager,t,Holiday,13/03/2025,11:21 PM,12:22 AM,8.38,1.86,0.17,,Leave,Leave
3687,47418,47418,Caitlin Cook,P005,Finance,Recruitment,C4,Supervisor,t,Working Day (G),17/03/2025,09:24 AM,10:45 PM,7.95,0.59,0.95,,Absent,Leave
3688,41977,41977,Keith Rowe,P003,Finance,Support,C4,Manager,t,Working Day (G),25/02/2025,09:12 PM,11:35 AM,8.76,1.63,0.57,,Leave,Half Day
3689,38171,38171,Helen Hubbard,P002,IT,Accounting,C5,Manager,t,Weekend,13/03/2025,10:57 PM,08:03 AM,6.14,0.61,0.38,,Absent Half Day,Half Day
3690,31482,31482,Jennifer Perkins,P003,Finance,Manufacturing,C3,Engineer,t,Weekend,25/02/2025,09:21 AM,09:08 AM,8.48,1.52,0.62,,Present,Full Day
3691,32950,32950,Alexa Barnes,P002,Production,Manufacturing,C4,Supervisor,t,Working Day (G),25/03/2025,04:49 AM,06:38 AM,6.61,1.42,0.94,,Leave,Half Day
3692,32933,32933,Christopher Boyd,P004,HR,Recruitment,C1,Manager,t,Working Day (G),26/02/2025,02:42 PM,09:27 AM,7.78,1.57,0.87,,Leave,Full Day
3693,32525,32525,Spencer Murphy,P002,Quality,Support,C4,DM,t,Working Day (G),21/03/2025,08:11 AM,08:18 PM,6.09,1.64,0.13,,Absent Half Day,Leave
3694,46737,46737,Patrick Butler,P002,Production,Manufacturing,C5,Engineer,t,Weekend,25/02/2025,02:08 PM,05:59 AM,8.86,1.53,0.31,,Present,Full Day
3695,37013,37013,Diane Rodriguez,P001,Finance,Support,C1,DM,t,Working Day (G),16/03/2025,04:57 PM,11:14 AM,6.32,0.81,0.56,,Present,Full Day
3696,39349,39349,Felicia Jones,P001,Production,Support,C4,Engineer,t,Holiday,25/02/2025,04:05 PM,11:37 AM,6.5,1.05,1.0,,Leave,Full Day
3697,39312,39312,Charles Liu,P001,Production,Support,C2,Manager,t,Working Day (G),20/03/2025,07:02 AM,05:09 PM,6.23,1.28,0.11,,Present,Full Day
3698,32601,32601,Daniel Hamilton,P003,Production,Support,C1,Manager,t,Holiday,21/03/2025,03:07 AM,03:33 AM,6.3,1.86,0.47,,Absent Half Day,Half Day
3699,42063,42063,Michael Lee,P001,Finance,Warranty,C3,Executive,t,Weekend,04/03/2025,10:46 AM,09:53 AM,6.96,1.8,0.47,,Absent,Leave
3700,40744,40744,Bradley Salas,P005,Production,Support,C5,DM,t,Working Day (G),02/03/2025,05:26 PM,06:37 PM,7.38,0.34,0.6,,Absent,Full Day
3701,39584,39584,Tasha Shannon,P003,Production,Recruitment,C5,Supervisor,t,Holiday,25/02/2025,02:08 PM,02:46 AM,6.69,1.76,0.11,,Absent,Full Day
3702,30881,30881,Sarah Moyer,P005,IT,Warranty,C1,Engineer,t,Working Day (G),02/03/2025,03:13 PM,05:16 AM,6.58,0.73,0.93,,Leave,Full Day
3703,38126,38126,Casey Silva,P003,Production,Support,C2,Executive,t,Working Day (G),18/03/2025,12:12 PM,03:01 AM,7.22,0.62,0.78,,Leave,Full Day
3704,32729,32729,Jean Sherman,P001,Quality,Warranty,C5,Engineer,t,Working Day (G),20/03/2025,05:05 PM,10:03 PM,8.62,1.75,0.96,,Absent Half Day,Half Day
3705,43666,43666,Mason Rosales,P002,Production,Recruitment,C1,DM,t,Holiday,04/03/2025,07:27 AM,10:27 PM,8.54,0.71,0.98,,Absent Half Day,Full Day
3706,36243,36243,Todd Ramirez,P004,IT,Accounting,C3,DM,t,Working Day (G),10/03/2025,09:31 AM,04:46 PM,6.57,1.34,0.73,,Absent,Leave
3707,42543,42543,Cameron White,P005,HR,Support,C5,Manager,t,Weekend,09/03/2025,02:04 PM,03:15 AM,6.81,0.66,0.87,,Absent Half Day,Full Day
3708,35810,35810,Larry Smith,P004,HR,Recruitment,C4,Executive,t,Weekend,04/03/2025,11:27 PM,08:56 AM,7.6,1.34,0.79,,Absent Half Day,Full Day
3709,40461,40461,Jennifer Jordan,P003,Finance,Warranty,C3,Supervisor,t,Weekend,01/03/2025,10:11 AM,06:52 PM,7.74,0.13,0.86,,Absent,Half Day
3710,45889,45889,Carol Parker,P004,IT,Manufacturing,C4,Supervisor,t,Working Day (G),09/03/2025,05:35 PM,11:55 AM,8.44,0.09,0.85,,Absent,Half Day
3711,49584,49584,Jimmy Adams,P001,IT,Manufacturing,C1,Engineer,t,Weekend,02/03/2025,01:02 AM,01:38 PM,7.03,1.06,0.7,,Present,Leave
3712,47117,47117,Levi Burke,P001,Quality,Accounting,C1,Executive,t,Working Day (G),13/03/2025,06:21 AM,08:03 AM,7.67,1.15,0.63,,Absent Half Day,Leave
3713,49447,49447,Jonathon Ortiz,P003,Finance,Support,C3,Supervisor,t,Holiday,18/03/2025,02:24 AM,10:48 AM,6.77,0.37,0.2,,Present,Full Day
3714,40809,40809,Laura Gonzalez,P004,IT,Recruitment,C3,Engineer,t,Holiday,18/03/2025,10:38 AM,06:51 PM,6.33,1.53,0.93,,Absent Half Day,Leave
3715,41922,41922,Ana Smith,P005,Production,Recruitment,C1,Manager,t,Holiday,18/03/2025,01:03 AM,10:18 PM,8.21,0.91,0.8,,Absent,Half Day
3716,37018,37018,Joseph Ross,P003,Quality,Support,C4,DM,t,Weekend,15/03/2025,06:29 AM,04:12 PM,6.5,1.33,0.61,,Absent,Full Day
3717,46951,46951,Dustin West,P005,Finance,Recruitment,C3,Supervisor,t,Weekend,12/03/2025,09:58 AM,04:47 AM,8.14,1.93,0.81,,Leave,Leave
3718,49577,49577,Jon Matthews,P003,IT,Support,C4,Executive,t,Holiday,11/03/2025,02:01 AM,04:41 AM,6.15,0.87,0.54,,Leave,Full Day
3719,41143,41143,Matthew Sanchez,P003,HR,Support,C5,Executive,t,Weekend,26/02/2025,05:46 PM,09:23 PM,6.68,0.01,0.88,,Absent Half Day,Full Day
3720,38609,38609,Steven Tucker,P005,Finance,Support,C3,Executive,t,Holiday,10/03/2025,09:11 PM,05:32 PM,8.63,1.78,0.07,,Present,Leave
3721,41336,41336,Thomas Garcia,P003,Production,Recruitment,C1,Supervisor,t,Weekend,04/03/2025,02:14 AM,06:39 PM,8.08,0.76,0.79,,Absent Half Day,Half Day
3722,45947,45947,Laura Liu,P003,Production,Recruitment,C2,DM,t,Holiday,20/03/2025,09:20 PM,11:56 AM,8.59,0.96,0.94,,Present,Full Day
3723,47587,47587,April Hess,P002,IT,Recruitment,C2,DM,t,Weekend,10/03/2025,12:51 AM,01:42 PM,7.47,0.65,0.72,,Absent,Half Day
3724,36164,36164,Janet Parker,P005,Production,Manufacturing,C3,DM,t,Weekend,23/03/2025,09:19 AM,03:10 PM,7.54,1.61,0.48,,Present,Leave
3725,45493,45493,Philip Jones,P001,IT,Manufacturing,C4,Manager,t,Holiday,25/02/2025,03:38 PM,08:33 PM,6.07,1.03,0.95,,Present,Full Day
3726,48732,48732,Emily Jackson,P002,Finance,Recruitment,C4,Executive,t,Working Day (G),25/02/2025,08:15 AM,11:52 PM,6.02,0.63,0.57,,Absent Half Day,Leave
3727,48551,48551,Ashley Martin,P002,HR,Support,C5,DM,t,Holiday,23/03/2025,10:06 AM,08:51 AM,8.21,0.09,0.1,,Absent Half Day,Half Day
3728,45439,45439,Brenda Bryant,P004,IT,Support,C3,Supervisor,t,Working Day (G),05/03/2025,04:23 PM,01:20 PM,7.54,1.59,0.59,,Absent,Full Day
3729,39806,39806,Jane Williams,P005,IT,Accounting,C4,Executive,t,Weekend,22/03/2025,06:10 PM,07:00 PM,8.84,0.41,0.28,,Absent,Leave
